# x_1,x_2,Class_label
-1.29002623e+02,-1.92065497e+02,1
1.22673928e+02,4.86175922e+02,0
-5.28695590e+01,-1.49047698e+02,1
1.17605984e+02,-1.83029918e+02,2
1.26428740e+02,4.64912306e+02,0
1.50506245e+02,-1.97086229e+02,2
1.60755830e+02,2.79854065e+02,0
-1.31082056e+02,-2.82579333e+02,1
-1.13928983e+02,-1.76626108e+02,1
1.45203654e+02,3.66296166e+02,0
1.24618960e+02,4.77941533e+02,0
-5.81030540e+01,-3.67229082e+02,1
1.52318125e+02,-2.62465946e+02,2
1.31956930e+02,-1.56618549e+02,2
1.58824609e+02,-2.02932275e+02,2
1.36406350e+02,-2.38051008e+02,2
1.43792737e+02,-2.65497477e+02,1
1.13129599e+02,-1.55120015e+02,2
8.42768701e+01,-2.14251634e+02,2
-9.73462036e+01,-2.43788492e+02,1
-8.19558799e+01,-3.43002090e+02,1
1.10174174e+02,5.66119694e+02,0
1.36649019e+02,-1.94448071e+02,2
-1.15867880e+02,-2.75440488e+02,1
-8.24158049e+01,-8.12824765e+01,1
1.36923142e+02,4.12223018e+02,0
1.21875605e+02,5.04767244e+02,0
1.31021290e+02,4.78113884e+02,2
-7.33258115e+01,-1.12919095e+02,1
1.05214466e+02,-2.16486295e+02,2
1.30682886e+02,-1.31717402e+02,2
1.18075051e+02,-1.68922666e+02,2
-1.16035051e+02,-2.19845525e+02,1
1.40289765e+02,4.26083410e+02,0
1.12699660e+02,-1.78549097e+02,2
1.12781200e+02,5.46115091e+02,0
-1.60954025e+02,-4.76761181e+01,1
-1.78319959e+02,-3.55090393e+02,1
-1.34044704e+02,-7.64158046e+01,1
1.26053996e+02,-1.86854465e+02,2
1.44459983e+02,-1.04023887e+02,2
1.49982931e+02,-2.24011162e+02,2
1.23197199e+02,-2.28438598e+02,2
1.35286098e+02,4.30847734e+02,0
-1.18997254e+02,-1.86226239e+02,1
1.28915268e+02,4.65239226e+02,0
1.37205839e+02,4.11690651e+02,0
-3.98425587e+01,-2.10613997e+02,1
1.49976283e+02,-1.51469803e+02,2
1.64957991e+02,-2.26780860e+02,2
-8.69059414e+01,-1.77473618e+02,1
-9.02098094e+01,-9.52066332e+01,1
1.39309448e+02,4.10900464e+02,0
1.13968716e+02,-1.00314839e+02,2
-1.16837955e+02,-2.45869390e+02,1
1.44320649e+02,-2.07434588e+02,2
1.74379811e+02,-2.04765718e+02,2
1.62295272e+02,-2.01708997e+02,2
1.65384585e+02,-1.06121991e+02,2
-8.71816987e+01,-1.78345362e+02,1
-1.17071131e+02,-1.59965635e+02,1
-1.10496358e+02,-2.21241305e+02,1
1.26554989e+02,4.55911546e+02,0
1.04976810e+02,-1.30317364e+02,0
-1.60964160e+02,-2.63410776e+02,1
